题目ID,级别,题型,学习模式,知识点,绝对分(平均),知识点匹配,题型合规性,语言正确性,级别适配度,选项设计,题干清晰度,与剧情/语境关联,交互体验,问题标签,严重程度,修改建议,备注
Q001,A2,REVIEW_S1,native,apple,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q002,B1,S2,native,colleague,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q003,B2,REVIEW_S2,english,quit,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q004,B2,DRAG_SORT,native,affect,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q005,A2,REVIEW_S3,native,hello,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q006,C1,S5,english,look for,1.25,1,1,1,2,1,2,1,1,—,—,—,
Q007,B1,REVIEW_S1,native,job,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q008,C2,S2,english,irony,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q009,A1,S2,native,dog,1.375,1,2,1,2,1,2,1,1,—,—,—,
Q010,A2,REVIEW_S2,native,job,1.375,1,2,1,2,1,2,1,1,—,—,—,
